и,and/though
в,in/at
не,not
он,he
на,on/it/at/to
я,I
что,what/that/why
тот,that
быть,to be
с,with/and/from/of
а,while/and/but
весь,all/everything
эт,that/this/it
как,how/what/as/like
она́,she
по,on/along/by
но,but
они́,they
к,to/for/by
у,by/with/of
ты,you/thou
из,from/of/in
мы,we
за,behind/over/at/after
вы,you
так,so/thus/then
же,and/as for/but/same
от,from/of/for
сказа́ть,to say/to speak
э́тот,this
кото́рый,which/who/that
мочь,be able
челове́к,man/person
о,of/about/against
оди́н,one/some/alone
ещё,still/yet
бы,would
тако́й,such/so/some
то́лько,only/merely/but
себя́,myself/himself/herself
своё,one's own/my/our
како́й,what/which/how
когда́,when/while/as
уже́,already/by now
для,for/to
вот,here/there/this is/that's
кто,who/that/some
да,yes/but
говори́ть,to say/to tell/to speak
год,year
знать,to know/be aware
мой,my/mine
до,to/up to/about/before
и́ли,or
е́сли,if
вре́мя,time/season
рука́,hand/arm
нет,no/not/but
са́мый,most/the very/the same
ни,not a/not/neither… nor
стать,to become/begin/come
большо́й,big/large/important
да́же,even
друго́й,other/another/different
наш,our/ours
свой,my/our/your
ну,now/right/well/come on
под,under/for/towards/to
где,where
де́ло,business/affair/matter
есть,to eat/to be
сам,myself/yourself
раз,time/once/since
что́бы,that/in order that
два,two	cardinal
там,there/then
чем,than;instead of
глаз,eye;sight
жизнь,life
пе́рвый,first/front/former
день,day
тут,here/now/then
во,in/at;super/exactly
ничто́,nothing
пото́м,afterwards/then
о́чень,very
со,with
хоте́ть,to want/like
ли,whether/if
при,attached to/in the presence of/by/about
голова́,head/mind/brains
на́до,over/above/ought to
без,without
ви́деть,to see
идти́,to go/come
тепе́рь,now/nowadays
то́же,also/as well/too
стоя́ть,to stand/be/stand up
друг,friend
1дом,house/home
